zip_code,public_transportation_pct,public_transportation_population,minimo,maximo
1379,3.3,13.0,3.3,1379.0
1440,0.4,34.0,0.4,1440.0
1505,0.9,23.0,0.9,1505.0
1524,0.5,20.0,0.5,1524.0
1529,1.8,32.0,1.8,1529.0
1583,0.7,19.0,0.7,1583.0
1588,,,1588.0,1588.0
1609,3.3,275.0,3.3,1609.0
1721,6.9,684.0,6.9,1721.0
1731,3.5,28.0,3.5,1731.0
1740,3.2,88.0,3.2,1740.0
1741,2.7,64.0,2.7,1741.0
1770,9.4,195.0,9.4,1770.0
1773,9.5,223.0,9.5,1773.0
1775,2.7,100.0,2.7,1775.0
1821,3.6,640.0,3.6,1821.0
1843,3.6,430.0,3.6,1843.0
1863,3.2,147.0,3.2,1863.0
1864,4.2,359.0,4.2,1864.0
1876,2.8,451.0,2.8,1876.0
1880,8.5,1255.0,8.5,1880.0
1906,8.1,1181.0,8.1,1906.0
1923,2.9,407.0,2.9,1923.0
1929,8.9,160.0,8.9,1929.0
1940,3.2,215.0,3.2,1940.0
1028,1.7,133.0,1.7,1028.0
1033,0.7,25.0,0.7,1033.0
1037,,,1037.0,1037.0
1005,,,1005.0,1005.0
1027,2.2,220.0,2.2,1027.0
1038,0.6,11.0,0.6,1038.0
1054,0.8,8.0,0.8,1054.0
1103,9.0,82.0,9.0,1103.0
1084,,,1084.0,1084.0
1092,,,1092.0,1092.0
1107,8.8,318.0,8.8,1107.0
1119,0.8,44.0,0.8,1119.0
1236,,,1236.0,1236.0
1245,0.7,3.0,0.7,1245.0
1254,,,1254.0,1254.0
1262,2.7,17.0,2.7,1262.0
1338,,,1338.0,1338.0
1368,,,1368.0,1368.0
1453,1.1,232.0,1.1,1453.0
1460,4.1,206.0,4.1,1460.0
1462,1.4,78.0,1.4,1462.0
1475,,,1475.0,1475.0
1519,3.5,129.0,3.5,1519.0
1532,2.3,182.0,2.3,1532.0
1534,1.3,45.0,1.3,1534.0
1535,1.6,41.0,1.6,1535.0
1585,1.1,26.0,1.1,1585.0
1050,,,1050.0,1050.0
1108,7.2,834.0,7.2,1108.0
1128,1.4,21.0,1.4,1128.0
1235,0.3,4.0,0.3,1235.0
1026,2.0,9.0,2.0,1026.0
1531,,,1531.0,1531.0
1603,3.2,296.0,3.2,1603.0
1001,0.9,80.0,0.9,1001.0
1607,2.7,109.0,2.7,1607.0
1702,4.5,946.0,4.5,1702.0
1760,8.5,1619.0,8.5,1760.0
1778,5.2,371.0,5.2,1778.0
1887,4.3,553.0,4.3,1887.0
1830,4.7,621.0,4.7,1830.0
1852,3.8,637.0,3.8,1852.0
1879,1.0,71.0,1.0,1879.0
1921,1.9,80.0,1.9,1921.0
1105,7.1,241.0,7.1,1105.0
1201,2.1,458.0,2.1,1201.0
1230,2.0,84.0,2.0,1230.0
1238,2.3,64.0,2.3,1238.0
1257,,,1257.0,1257.0
1367,,,1367.0,1367.0
1430,0.4,13.0,0.4,1430.0
1432,2.2,100.0,2.2,1432.0
1436,,,1436.0,1436.0
1463,1.2,77.0,1.2,1463.0
1468,,,1468.0,1468.0
1516,0.3,15.0,0.3,1516.0
1523,1.6,55.0,1.6,1523.0
1541,0.3,5.0,0.3,1541.0
1560,4.2,95.0,4.2,1560.0
1570,0.6,50.0,0.6,1570.0
1608,7.3,80.0,7.3,1608.0
1970,10.3,2375.0,10.3,2375.0
1985,3.6,82.0,3.6,1985.0
1966,7.5,256.0,7.5,1966.0
1745,,,1745.0,1745.0
1746,4.7,347.0,4.7,1746.0
1754,4.3,251.0,4.3,1754.0
1749,1.1,118.0,1.1,1749.0
1827,1.0,18.0,1.0,1827.0
1833,0.6,27.0,0.6,1833.0
1844,1.4,384.0,1.4,1844.0
1944,16.1,428.0,16.1,1944.0
1845,3.6,551.0,3.6,1845.0
1850,3.7,278.0,3.7,1850.0
1915,8.3,1828.0,8.3,1915.0
1040,1.5,237.0,1.5,1040.0
1039,0.7,5.0,0.7,1039.0
1905,12.4,1542.0,12.4,1905.0
1824,3.0,406.0,3.0,1824.0
1450,4.1,232.0,4.1,1450.0
1612,1.2,30.0,1.2,1612.0
1960,3.6,976.0,3.6,1960.0
1969,4.5,148.0,4.5,1969.0
1983,0.8,25.0,0.8,1983.0
1010,,,1010.0,1010.0
1036,0.3,8.0,0.3,1036.0
1220,0.4,18.0,0.4,1220.0
1718,11.1,44.0,11.1,1718.0
1537,0.1,1.0,0.1,1537.0
1521,,,1521.0,1521.0
1610,5.9,561.0,5.9,1610.0
1550,0.1,10.0,0.1,1550.0
1542,2.5,31.0,2.5,1542.0
1757,1.7,255.0,1.7,1757.0
1776,3.3,287.0,3.3,1776.0
1803,3.2,426.0,3.2,1803.0
1810,4.4,756.0,4.4,1810.0
1832,4.1,477.0,4.1,1832.0
1860,3.3,124.0,3.3,1860.0
1862,3.2,179.0,3.2,1862.0
1890,12.1,1322.0,12.1,1890.0
1118,1.0,67.0,1.0,1118.0
1469,1.3,52.0,1.3,1469.0
1081,,,1081.0,1081.0
1886,1.7,205.0,1.7,1886.0
1022,,,1022.0,1022.0
1748,6.9,584.0,6.9,1748.0
1566,0.2,5.0,0.2,1566.0
1002,10.4,1548.0,10.4,1548.0
1011,,,1011.0,1011.0
1080,,,1080.0,1080.0
1109,5.6,613.0,5.6,1109.0
1151,2.9,105.0,2.9,1151.0
1222,,,1222.0,1222.0
1225,,,1225.0,1225.0
1337,,,1337.0,1337.0
1341,0.8,8.0,0.8,1341.0
1373,2.1,47.0,2.1,1373.0
1346,,,1346.0,1346.0
1351,0.7,8.0,0.7,1351.0
1366,0.5,3.0,0.5,1366.0
1376,1.1,26.0,1.1,1376.0
1378,,,1378.0,1378.0
1772,2.6,126.0,2.6,1772.0
1854,4.5,602.0,4.5,1854.0
1199,,,1199.0,1199.0
